Scrape Date,Brand,Model,Name,Processor,RAM Size (GB),Storage,OS,Display Size (inch),Price (INR),Product_URL
20250618-231725,Lenovo,LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),Lenovo LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),Intel Core i5,,512 GB SSD,Windows 11,15.6,74389,https://www.smartprix.com/laptops/lenovo-loq-2024-83gs003vin-gaming-laptop-ppd1aw3uxaga
20250618-231725,HP,Victus 15-fb3009AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),HP Victus 15-fb3009AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),AMD Ryzen 5,,512 GB SSD,Windows 11,15.6,67990,https://www.smartprix.com/laptops/hp-victus-15-fb3009ax-gaming-laptop-amd-ryzen-ppd19mpry3l9
20250618-231725,Asus,TUF Gaming A16 Advantage Edition FA617NSR-RL083W Gaming Laptop (AMD Ryzen 7 7435HS/ 16GB/ 512GB SSD/ Win11 Home/ AMD Radeon RTX 7600S),Asus TUF Gaming A16 Advantage Edition FA617NSR-RL083W Gaming Laptop (AMD Ryzen 7 7435HS/ 16GB/ 512GB SSD/ Win11 Home/ AMD Radeon RTX 7600S),AMD Ryzen 7,,512 GB SSD,Windows 11,16.0,79990,https://www.smartprix.com/laptops/asus-tuf-gaming-a16-advantage-edition-fa617nsr-ppd1jky1472n
20250618-231725,Asus,ROG Strix SCAR 18 2025 G835LX-SA187WS Gaming Laptop (Intel Core Ultra 9 275HX/ 64GB/ 2TB SSD/ Win11/ 24GB RTX 5090 Graph),Asus ROG Strix SCAR 18 2025 G835LX-SA187WS Gaming Laptop (Intel Core Ultra 9 275HX/ 64GB/ 2TB SSD/ Win11/ 24GB RTX 5090 Graph),Intel Core Ultra,,,Windows 11,18.0,449990,https://www.smartprix.com/laptops/asus-rog-strix-scar-18-2025-g835lx-sa187ws-ppd16drm2cnz
20250618-231725,Lenovo,V15 G4 82C70081GE Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),Lenovo V15 G4 82C70081GE Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),AMD Ryzen 5,,512 GB SSD,Windows 11,15.6,35490,https://www.smartprix.com/laptops/lenovo-v15-g4-82c70081ge-laptop-amd-ryzen-ppd1vp1h3lwa
20250618-231725,Apple,MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS),Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS),,,,,,91990,https://www.smartprix.com/laptops/apple-macbook-air-2025-laptop-apple-m4-16gb-256gb-ppd1nk44kl44
20250618-231725,Lenovo,Yoga Book 9 83FF0034IN Laptop (Intel Evo Core Ultra 7 155U/ 32GB/ 1TB SSD/ Win11),Lenovo Yoga Book 9 83FF0034IN Laptop (Intel Evo Core Ultra 7 155U/ 32GB/ 1TB SSD/ Win11),,,,,,239990,https://www.smartprix.com/laptops/lenovo-yoga-book-9-83ff0034in-laptop-intel-ppd1ww9wtkf8
20250618-231725,Asus,ROG Strix SCAR 18 2025 G835LX-SA187WS Gaming Laptop (Intel Core Ultra 9 275HX/ 64GB/ 2TB SSD/ Win11/ 24GB RTX 5090 Graph),Asus ROG Strix SCAR 18 2025 G835LX-SA187WS Gaming Laptop (Intel Core Ultra 9 275HX/ 64GB/ 2TB SSD/ Win11/ 24GB RTX 5090 Graph),,,,,,449990,https://www.smartprix.com/laptops/asus-rog-strix-scar-18-2025-g835lx-sa187ws-ppd16drm2cnz
20250618-231725,Lenovo,V15 G4 83CR000VIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),Lenovo V15 G4 83CR000VIN Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),,,,,,42954,https://www.smartprix.com/laptops/lenovo-v15-g4-83cr000vin-laptop-amd-ryzen-ppd1i8tlnr1c
20250618-231725,Dell,Latitude 13 7390 Laptop (8th Gen Ci7/ 8GB/ 256GB SSD/ Win10),Dell Latitude 13 7390 Laptop (8th Gen Ci7/ 8GB/ 256GB SSD/ Win10),,,,,,21995,https://www.smartprix.com/laptops/dell-latitude-13-7390-laptop-8th-gen-ci7-ppd1yeqvly0s
20250618-231725,HP,Victus 15-fa1319TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB RTX 4050),HP Victus 15-fa1319TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB RTX 4050),,,,,,68841,https://www.smartprix.com/laptops/hp-victus-15-fa1319tx-gaming-laptop-13th-ppd1dcbv7dyc
20250618-231725,Lenovo,LOQ 15IAX9 83LK0068IN Gaming Laptop (12th Gen Core i7/ 12GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),Lenovo LOQ 15IAX9 83LK0068IN Gaming Laptop (12th Gen Core i7/ 12GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),,,,,,73990,https://www.smartprix.com/laptops/lenovo-loq-15iax9-83lk0068in-gaming-laptop-ppd1i2reyl9s
20250618-231725,Asus,Vivobook 15 X1504VA-NJ3321WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),Asus Vivobook 15 X1504VA-NJ3321WS Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),,,,,,38990,https://www.smartprix.com/laptops/asus-vivobook-15-x1504va-nj3321ws-laptop-ppd1zuqvoeak
